"Timestamp","Which year are you in?","How are you feeling right now?","On a scale of 1-100, how would you express this feeling?","Gender","Age","Your location ?","Relationship status","Are you happy with your financial state?","How much have you succeeded to cope up with the environment of your educational institution?","Understanding with your family members?","Are you feeling pressure in your study or work right now?","Are you satisfied with your academic result?","Are you happy with your living place?","Who supports you when you are not succeeding in your academic life?","Have you used any social media within the last 6 hours?","Do you have inferiority complex? ","Are you satisfied with your meal today?","Are you feeling sick/health issues today?","Have you done any recreational activity (sports, gaming, hobby etc.) today?","How long did you sleep last night?(in hours)"
"2020/12/03 3:26:01 PM GMT+6","4th year","Normal","50","Male","23","Home","Single","Yes","4","Normal","No","Yes","No","Family","Yes","No","Yes","No","No","7"
"2020/12/03 6:25:04 PM GMT+6","4th year","Normal","40","Male","23","Home","Single","Yes","4","Normal","Yes","Yes","No","Family","Yes","No","Yes","No","No","7"
"2020/12/04 5:40:40 PM GMT+6","4th year","Bad","50","Male","23","Home","Single","Yes","4","Normal","Yes","Yes","No","Family","Yes","No","Yes","No","No","7"
"2020/12/04 8:43:29 PM GMT+6","4th year","Normal","45","Male","23","Home","Single","Yes","4","Normal","No","Yes","No","Family","Yes","No","Yes","No","No","7"
"2020/12/05 4:14:34 PM GMT+6","4th year","Normal","50","Male","23","Home","Single","Yes","4","Normal","Yes","Yes","Yes","Family","Yes","No","Yes","No","No","7"
"2020/12/07 9:51:32 AM GMT+6","4th year","Normal","45","Male","23","Home","Single","Yes","4","Normal","No","Yes","Yes","Family","Yes","No","Yes","No","No","7"
"2020/12/11 3:47:56 PM GMT+6","4th year","Normal","50","Male","23","Home","Single","Yes","4","Normal","No","Yes","Yes","Family","Yes","No","Yes","No","No","8"
"2020/12/15 11:41:42 AM GMT+6","4th year","Normal","50","Male","23","Home","Single","Yes","4","Normal","No","Yes","Yes","Family","Yes","No","Yes","No","No","8"
"2020/12/18 10:05:21 AM GMT+6","4th year","Good","60","Male","23","Home","Single","Yes","4","Normal","No","Yes","No","Family","Yes","No","Yes","No","No","8"
"2020/12/20 10:29:44 AM GMT+6","4th year","Good","60","Male","23","Home","Single","Yes","4","Normal","No","Yes","Yes","Family","Yes","No","Neutral","No","No","8"
"2020/12/20 2:18:53 PM GMT+6","4th year","Good","40","Male","23","Home","Single","Yes","4","Normal","No","Yes","Yes","Family","Yes","No","Yes","No","Yes","8"
"2020/12/20 3:05:48 PM GMT+6","4th year","Normal","50","Male","23","Home","Single","Yes","4","Good","No","Yes","Yes","Family","Yes","No","Yes","No","No","8"
"2020/12/20 3:06:26 PM GMT+6","4th year","Normal","50","Male","23","Home","Single","Yes","4","Good","No","Yes","Yes","Family","Yes","No","Yes","No","No","8"
"2020/12/20 3:11:18 PM GMT+6","4th year","Normal","50","Male","23","Home","Single","Yes","4","Good","No","Yes","Yes","Family","Yes","No","Yes","No","No","8"
"2020/12/20 5:14:57 PM GMT+6","4th year","Normal","50","Male","23","Home","Single","Yes","4","Good","No","Yes","Yes","Family","Yes","No","Yes","No","No","8"
"2020/12/20 8:39:54 PM GMT+6","4th year","Good","79","Male","23","Home","Single","Yes","4","Good","No","Yes","Yes","Family","Yes","No","Yes","No","Yes",8
"2020/12/20 8:53:29 PM GMT+6","4th year","Good","73","Male","23","Home","Single","Yes","4","Good","No","Yes","Yes","Family","Yes","No","Yes","No","No",8
"2020/12/20 8:59:32 PM GMT+6","4th year","Normal","60","Male","23","Home","Single","Yes","4","Good","No","Yes","Yes","Family","Yes","No","Yes","No","Yes",8
"2020/12/20 9:05:47 PM GMT+6","4th year","Normal","50","Male","23","Home","Single","Yes","4","Good","No","Yes","Yes","Family","Yes","No","Yes","No","No","8"
"2020/12/20 9:13:35 PM GMT+6","4th year","Bad","44","Male","23","Home","Single","Yes","5","Normal","No","Yes","Yes","Family","Yes","No","Yes","No","Yes",7
"2020/12/20 9:17:30 PM GMT+6","4th year","Normal","50","Male","23","Home","Single","Yes","5","Normal","No","Yes","Yes","Family","Yes","No","Yes","No","No",9
"2020/12/20 9:18:27 PM GMT+6","4th year","Normal","50","Male","23","Home","Single","Yes","5","Good","No","Yes","Yes","Family","Yes","No","Yes","No","Yes",7
"2020/12/20 9:37:38 PM GMT+6","4th year","Bad","38","Male","23","Home","Single","Yes","4","Normal","No","Yes","Yes","Family","Yes","No","Yes","No","Yes",8
"2020/12/20 9:40:55 PM GMT+6","4th year","Normal","55","Male","23","Home","Single","Yes","5","Good","No","Yes","No","Family","Yes","No","Yes","No","Yes","7"
"2020/12/20 9:44:02 PM GMT+6","4th year","Bad","41","Male","23","Home","Single","Yes","4","Normal","Yes","No","No","Family","Yes","No","Neutral","Yes","No","4"
"2020/12/20 9:45:59 PM GMT+6","4th year","Good","78","Male","23","Home","Single","Yes","4","Good","No","Yes","Yes","Family","Yes","No","Yes","No","Yes","7"
"2020/12/20 9:45:59 PM GMT+6","4th year","Good","77","Male","23","Home","Single","Yes","4","Good","No","Yes","Yes","Family","Yes","No","Yes","No","No","7"
"2020/12/20 9:46:02 PM GMT+6","4th year","Good","74","Male","23","Home","Single","Yes","4","Good","No","Yes","Yes","Family","Yes","No","Yes","No","No","7"
"2020/12/20 9:46:03 PM GMT+6","4th year","Good","78","Male","23","Home","Single","Yes","4","Good","No","Yes","Yes","Family","Yes","No","Yes","No","Yes","8"
